name,lat_NS,long_EW,elevation,q,q_uncertainty,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,tc_mean,tc_uncertainty,total_depth_MD,geo_lithology,geo_stratigraphy,Region,Quality_Code
BIG SPGS,39.0117,-95.4783,365.0,48.0,,32.0,,,1.5,,,,,,Ux.Mx.-------
CHAPMAN,30.1833,-96.09,76.0,61.0,,47.0,,,1.3,,,,,,Ux.Mx.-------
DDH-1,47.9333,-108.566,1585.0,22.0,,18.0,,,2.3,,,,,,Ux.Mx.-------
DDH-1,46.94,-110.495,2259.0,69.0,,28.0,,,2.4,,,,,,Ux.Mx.-------
DOE-MI12,46.275,-114.066,1156.5,80.0,,51.0,,,1.5,,,,,,Ux.Mx.-------
DOE-MI12,46.275,-114.066,1156.5,120.0,,76.0,,,1.5,,,,,,Ux.Mx.-------
DOE-MI2,47.0517,-114.286,1062.2,72.0,,33.0,,,2.1,,,,,,Ux.Mx.-------
DOE-MI2,47.0517,-114.286,1062.2,74.0,,21.0,,,3.4,,,,,,Ux.Mx.-------
MCKINNEY,33.25,-96.6517,198.0,51.0,,44.0,,,1.1,,,,,,Ux.Mx.-------
MCKINNEY,33.25,-96.6517,198.0,50.0,,20.0,,,2.5,,,,,,Ux.Mx.-------
MILES CY,46.6,-106.078,824.0,45.0,,26.0,,,1.7,,,,,,Ux.Mx.-------
CRIPPLE,36.8167,-81.1,702.0,43.0,,10.0,,,4.0,,,,,,Ux.Mx.-------
DDH-1,46.48,-112.12,1706.0,76.0,,24.0,,,3.0,,,,,,Ux.Mx.-------
DDH-1,46.3383,-112.078,1859.0,76.0,,19.0,,,3.9,,,,,,Ux.Mx.-------
DDH-1,46.45,-113.416,1859.0,79.0,,18.0,,,4.3,,,,,,Ux.Mx.-------
DDH-2,46.4817,-112.12,1676.0,101.0,,33.0,,,3.0,,,,,,Ux.Mx.-------
DDH-2,46.245,-112.438,1890.0,82.0,,26.0,,,3.1,,,,,,Ux.Mx.-------
DDH-4,45.31,-112.876,2122.0,54.0,,21.0,,,2.6,,,,,,Ux.Mx.-------
DDH-4,45.31,-112.876,2122.0,67.0,,13.0,,,4.8,,,,,,Ux.Mx.-------
DDH-C,45.7167,-112.333,1743.0,82.0,,30.0,,,2.7,,,,,,Ux.Mx.-------
GRUNDY,37.3333,-82.0,473.0,71.0,,18.0,,,4.2,,,,,,Ux.Mx.-------
MV-OG-4,46.735,-112.321,1951.0,133.0,,42.0,,,3.1,,,,,,Ux.Mx.-------
RDH-A,45.9583,-112.696,1731.0,83.0,,40.0,,,2.1,,,,,,Ux.Mx.-------
BUCKMTN,44.6,-122.055,1333.0,76.0,,63.0,,,1.2,,,,,,Ux.Mx.-------
AD-2,42.5367,-118.443,1220.0,52.0,,58.0,,,0.9,,,,,,Ux.Mx.-------
BS-WW,43.63,-117.036,769.0,87.0,,75.0,,,1.2,,,,,,Ux.Mx.-------
BW-WW,45.3217,-122.87,323.0,47.0,,30.0,,,1.6,,,,,,Ux.Mx.-------
HAUNT,45.6467,-121.468,629.0,41.0,,37.0,,,1.6,,,,,,Ux.Mx.-------
ID-43P,45.03,-116.85,665.0,64.0,,25.0,,,2.5,,,,,,Ux.Mx.-------
LITHIASP,42.1883,-122.635,583.0,31.0,,15.0,,,2.1,,,,,,Ux.Mx.-------
PHOEN BL,42.3233,-122.81,529.0,46.0,,24.0,,,1.9,,,,,,Ux.Mx.-------
SAMS VAL,42.4917,-122.951,389.0,33.0,,17.0,,,1.9,,,,,,Ux.Mx.-------
SAMS VLF,42.4967,-122.975,395.0,33.0,,19.0,,,1.9,,,,,,Ux.Mx.-------
SB-WW,45.3917,-122.356,196.0,41.0,,35.0,,,1.2,,,,,,Ux.Mx.-------
SLVRBUTT,42.855,-123.375,1170.0,33.0,,12.0,,,2.7,,,,,,Ux.Mx.-------
TYGHRDG1,45.3483,-121.133,753.0,54.0,,35.0,,,1.6,,,,,,Ux.Mx.-------
WOLF HOL,45.3583,-120.148,760.0,54.0,,33.0,,,1.6,,,,,,Ux.Mx.-------
AE-WW,43.7967,-122.418,707.0,40.0,,25.0,,,1.6,,,,,,Ux.Mx.-------
BFZ-7527,43.69,-120.478,1450.0,75.0,,75.0,,,1.0,,,,,,Ux.Mx.-------
BFZ-7527,43.69,-120.478,1450.0,96.0,,49.0,,,1.9,,,,,,Ux.Mx.-------
