name,lat_NS,long_EW,elevation,q,q_uncertainty,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,tc_mean,tc_uncertainty,total_depth_MD,geo_lithology,geo_stratigraphy,Region,Quality_Code
KAG,70.59,-158.66,19.5,68.0,,36.1,,,1.9,,,,,,Ux.Mx.-------
KANCAMAG,44.0333,-71.48,841.6,100.0,,27.1,,,3.7,,,,,,Ux.Mx.-------
KEG MTN,39.7,-112.92,1589.0,132.0,,53.9,,,2.5,,,,,,Ux.Mx.-------
KELLY,36.9,-107.85,1925.0,90.0,,48.0,,,2.0,,,,,,Ux.Mx.-------
KELLY,32.0317,-92.28,49.8,83.0,,34.7,,,2.4,,,,,,Ux.Mx.-------
KELVIN 1,33.0933,-111.02,605.8,95.0,,26.7,,,3.5,,,,,,Ux.Mx.-------
KHALSA,36.0417,-106.23,2196.6,72.1,,51.5,,,1.4,,,,,,Ux.Mx.-------
KINSTON,35.2367,-77.59,12.9,49.0,,27.1,,,1.8,,,,,,Ux.Mx.-------
KNG,35.1283,-114.07,955.0,100.0,,29.4,,,3.4,,,,,,Ux.Mx.-------
KOCH1415,45.87,-102.96,859.5,64.9,,54.0,,,1.2,,,,,,Ux.Mx.-------
KOCH3417,45.84,-102.93,867.3,57.7,,48.0,,,1.2,,,,,,Ux.Mx.-------
KOL,69.75,-154.61,60.1,62.0,,41.3,,,1.5,,,,,,Ux.Mx.-------
KOSM 1-8,40.39,-119.42,1229.0,20.4,,10.2,,,2.0,,,,,,Ux.Mx.-------
KOSMOS1-8,40.3883,-119.42,1229.3,134.7,,67.3,,,2.0,,,,,,Ux.Mx.-------
KRMR JNC,34.9733,-117.5,784.8,83.0,,29.5,,,2.8,,,,,,Ux.Mx.-------
KT-1-WW,42.165,-121.68,1256.4,21.0,,28.5,,,0.8,,,,,,Ux.Mx.-------
KUY,70.93,-156.06,0.7,64.0,,38.9,,,1.6,,,,,,Ux.Mx.-------
KY14-15,40.2917,-117.9,1276.8,148.0,,74.6,,,2.0,,,,,,Ux.Mx.-------
KY23-02,40.3667,-117.89,1293.0,136.0,,71.0,,,2.2,,,,,,Ux.Mx.-------
KY23-16,40.2833,-117.91,1250.5,148.0,,69.7,,,2.1,,,,,,Ux.Mx.-------
KY31-05,40.3483,-117.86,1364.4,94.0,,41.8,,,2.3,,,,,,Ux.Mx.-------
KY31-3,40.3467,-117.86,1363.4,58.6,,41.9,,,1.4,,,,,,Ux.Mx.-------
KY35-09,40.3433,-117.9,1272.9,100.0,,65.5,,,1.6,,,,,,Ux.Mx.-------
KY5-06,40.33,-117.85,1407.4,72.0,,29.9,,,2.4,,,,,,Ux.Mx.-------
L DANIEL,45.7017,-121.24,351.5,42.0,,26.2,,,1.6,,,,,,Ux.Mx.-------
L HEINE,48.3017,-117.76,557.4,69.0,,15.7,,,4.4,,,,,,Ux.Mx.-------
L.SMOKY (UCE-14),38.7167,-116.03,1904.0,60.0,,34.8,,,1.8,,,,,,Ux.Mx.-------
L-02,40.2583,-118.35,1392.9,43.3,,30.9,,,1.4,,,,,,Ux.Mx.-------
L-10,40.7433,-118.63,1552.3,62.2,,32.8,,,1.9,,,,,,Ux.Mx.-------
L-2,40.735,-118.62,1542.9,58.8,,30.9,,,1.9,,,,,,Ux.Mx.-------
L-22,33.4267,-88.4,54.4,24.0,,16.2,,,1.5,,,,,,Ux.Mx.-------
L-8,40.7367,-118.63,1529.7,93.4,,49.1,,,1.9,,,,,,Ux.Mx.-------
LA1,40.0683,-117.15,1514.8,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
LA-1,32.2667,-106.73,1216.2,60.2,,43.0,,,1.4,,,,,,Ux.Mx.-------
LA-10,39.12,-117.73,1956.0,72.6,,38.2,,,1.9,,,,,,Ux.Mx.-------
LA-13,39.4583,-117.1,1957.1,79.5,,41.9,,,1.9,,,,,,Ux.Mx.-------
LA-14,39.4183,-116.97,2027.7,24.2,,12.7,,,1.9,,,,,,Ux.Mx.-------
LA-15,39.515,-117.09,1861.2,64.0,,33.7,,,1.9,,,,,,Ux.Mx.-------
LA-16,39.3833,-116.81,1783.5,127.9,,67.3,,,1.9,,,,,,Ux.Mx.-------
LA-17,39.5117,-117.47,1887.7,34.6,,18.2,,,1.9,,,,,,Ux.Mx.-------
LA-18,39.61,-117.26,1923.9,138.3,,72.8,,,1.9,,,,,,Ux.Mx.-------
LA-19,39.5083,-117.13,1776.2,79.5,,41.9,,,1.9,,,,,,Ux.Mx.-------
LA2,40.0517,-116.74,2183.9,34.6,,18.2,,,1.9,,,,,,Ux.Mx.-------
LA-20,39.38,-116.84,1742.5,145.2,,76.4,,,1.9,,,,,,Ux.Mx.-------
LA-22,39.3483,-116.83,1748.4,58.8,,30.9,,,1.9,,,,,,Ux.Mx.-------
LA3,40.4083,-116.9,2349.9,79.5,,41.9,,,1.9,,,,,,Ux.Mx.-------
LA-8,39.7067,-117.33,1755.2,141.8,,74.6,,,1.9,,,,,,Ux.Mx.-------
LA-9,39.79,-117.35,1652.9,76.1,,40.0,,,1.9,,,,,,Ux.Mx.-------
LACKLAND,29.375,-98.62,231.9,29.4,,14.7,,,2.0,,,,,,Ux.Mx.-------
LAGUNA,35.0167,-106.97,1647.6,78.0,,32.3,,,2.4,,,,,,Ux.Mx.-------
LANCKFLD,43.0667,-104.63,1327.2,84.0,,50.5,,,1.7,,,,,,Ux.Mx.-------
LANDER,40.3333,-116.72,1724.6,133.0,,29.7,,,4.6,,,,,,Ux.Mx.-------
LANL-1,35.9767,-106.22,2061.6,42.0,,30.0,,,1.4,,,,,,Ux.Mx.-------
LANL-1,35.9767,-106.22,2061.6,67.5,,48.2,,,1.4,,,,,,Ux.Mx.-------
LANL-1,35.9767,-106.22,2061.6,31.2,,22.3,,,1.4,,,,,,Ux.Mx.-------
LANL-10,34.92,-108.69,2207.9,75.0,,20.1,,,3.7,,,,,,Ux.Mx.-------
LANL-12,35.14,-108.83,2054.2,67.0,,25.1,,,2.7,,,,,,Ux.Mx.-------
LANL-13,35.11,-108.65,2074.0,115.0,,54.8,,,2.1,,,,,,Ux.Mx.-------
LANL-15,35.27,-108.63,2105.9,56.0,,33.5,,,1.7,,,,,,Ux.Mx.-------
LANL-18,35.23,-108.6,2083.5,76.0,,49.8,,,1.5,,,,,,Ux.Mx.-------
LANL-2,35.9867,-105.95,1894.6,66.2,,47.3,,,1.4,,,,,,Ux.Mx.-------
LANL-2,35.9867,-105.95,1894.6,85.4,,61.0,,,1.4,,,,,,Ux.Mx.-------
LANL-20,35.59,-108.3,2183.4,58.0,,16.2,,,3.6,,,,,,Ux.Mx.-------
LANL-21,35.59,-108.33,2200.4,47.0,,20.8,,,2.3,,,,,,Ux.Mx.-------
LANL-24,35.49,-108.75,2073.9,48.0,,30.8,,,1.6,,,,,,Ux.Mx.-------
LANL-25,35.5,-108.67,2071.5,56.0,,29.2,,,1.9,,,,,,Ux.Mx.-------
LANL-26,35.54,-108.6,2064.1,56.0,,23.0,,,2.4,,,,,,Ux.Mx.-------
LANL-28,35.5,-108.21,2381.1,98.0,,38.4,,,2.5,,,,,,Ux.Mx.-------
LANL-29,35.53,-108.12,2201.0,51.0,,19.6,,,2.6,,,,,,Ux.Mx.-------
LANL-3,34.29,-108.76,2144.6,70.0,,37.9,,,1.9,,,,,,Ux.Mx.-------
LANL-3,36.2833,-106.06,1902.4,70.0,,37.9,,,1.9,,,,,,Ux.Mx.-------
LANL-4,34.27,-108.71,2176.7,74.0,,35.2,,,2.1,,,,,,Ux.Mx.-------
LANL-4,35.8883,-106.01,1807.6,74.0,,35.2,,,2.1,,,,,,Ux.Mx.-------
LANL-6,35.97,-105.91,2007.0,52.5,,37.5,,,1.4,,,,,,Ux.Mx.-------
LANL-8,36.2733,-106.04,1912.8,95.8,,68.4,,,1.4,,,,,,Ux.Mx.-------
LANL-8,34.91,-108.84,2062.8,133.0,,63.6,,,2.1,,,,,,Ux.Mx.-------
LANL-9,35.9567,-106.25,2133.0,91.7,,65.5,,,1.4,,,,,,Ux.Mx.-------
LASVEGA1,35.5833,-105.25,2034.9,63.0,,27.2,,,2.3,,,,,,Ux.Mx.-------
LASVEGA2,35.5667,-105.25,1985.0,61.0,,22.5,,,2.7,,,,,,Ux.Mx.-------
LAVABTWW,43.9033,-121.36,1376.0,59.0,,41.9,,,1.4,,,,,,Ux.Mx.-------
LAVBUTTE,43.9067,-121.36,1374.3,60.9,,38.3,,,1.6,,,,,,Ux.Mx.-------
LAWEN,43.4717,-118.73,1254.2,59.0,,60.9,,,1.0,,,,,,Ux.Mx.-------
LAWENCE,46.3267,-120.78,377.6,74.0,,46.3,,,1.6,,,,,,Ux.Mx.-------
LB-1,33.8833,-118.03,22.4,73.0,,34.5,,,2.1,,,,,,Ux.Mx.-------
LBN,68.48,-155.69,607.7,46.0,,27.3,,,1.7,,,,,,Ux.Mx.-------
LBNMGIL,41.825,-121.55,1238.4,100.0,,69.3,,,1.5,,,,,,Ux.Mx.-------
LC26-13,32.7083,-114.62,51.7,86.0,,38.3,,,2.2,,,,,,Ux.Mx.-------
LCKDMS12,42.7033,-122.6,676.6,105.0,,67.7,,,1.5,,,,,,Ux.Mx.-------
LCKDMS-2,42.7017,-122.6,660.4,93.0,,59.9,,,1.5,,,,,,Ux.Mx.-------
LEBANON,43.6,-72.33,159.3,32.0,,12.9,,,2.5,,,,,,Ux.Mx.-------
LEEMF1,33.1833,-106.88,1571.9,93.0,,32.3,,,2.9,,,,,,Ux.Mx.-------
LESLIE,35.8167,-92.57,340.7,24.0,,11.4,,,2.1,,,,,,Ux.Mx.-------
LEVASY,39.0833,-94.17,282.7,49.0,,16.8,,,2.9,,,,,,Ux.Mx.-------
LEWES,38.8033,-75.19,,44.0,,26.8,,,1.6,,,,,,Ux.Mx.-------
LG-1,45.3533,-117.92,819.0,53.5,,33.0,,,1.6,,,,,,Ux.Mx.-------
LG-10,45.185,-117.87,894.8,94.6,,66.6,,,1.4,,,,,,Ux.Mx.-------
LG-11,45.1367,-117.86,1029.2,64.3,,37.6,,,1.7,,,,,,Ux.Mx.-------
LG-12,45.105,-117.83,1064.1,37.9,,20.6,,,1.8,,,,,,Ux.Mx.-------
LG-14,45.23,-117.9,825.7,108.0,,60.0,,,1.8,,,,,,Ux.Mx.-------
LG-2,45.315,-117.91,817.4,44.9,,27.7,,,1.6,,,,,,Ux.Mx.-------
LG-3,45.3167,-117.97,819.1,43.7,,27.0,,,1.6,,,,,,Ux.Mx.-------
LG-4,45.3083,-118.05,827.3,55.7,,28.0,,,2.0,,,,,,Ux.Mx.-------
LG-5,45.265,-118.05,921.0,65.3,,38.4,,,1.7,,,,,,Ux.Mx.-------
LG-6,45.2583,-117.96,807.3,87.6,,55.1,,,1.6,,,,,,Ux.Mx.-------
LG-7,45.28,-117.86,860.4,87.0,,51.2,,,1.7,,,,,,Ux.Mx.-------
LG-8,45.23,-117.77,1090.4,24.8,,15.8,,,1.6,,,,,,Ux.Mx.-------
LG-9,45.2067,-117.81,979.9,112.5,,58.9,,,1.9,,,,,,Ux.Mx.-------
LH-1,34.735,-118.4,852.6,72.0,,27.7,,,2.6,,,,,,Ux.Mx.-------
LHR,33.7467,-113.65,607.2,80.0,,25.5,,,3.2,,,,,,Ux.Mx.-------
LIBERTY,34.5383,-80.75,161.5,46.0,,14.9,,,3.1,,,,,,Ux.Mx.-------
LINK-FLD,41.3833,-86.23,249.2,54.0,,14.0,,,3.8,,,,,,Ux.Mx.-------
LITTLETN,44.3333,-71.82,303.9,42.0,,15.8,,,2.3,,,,,,Ux.Mx.-------
LITTLETO,36.4167,-77.92,105.7,51.0,,18.4,,,2.7,,,,,,Ux.Mx.-------
LK-1,38.3833,-98.17,532.3,70.0,,13.4,,,5.2,,,,,,Ux.Mx.-------
LK-120,39.8633,-117.18,1827.3,104.5,,74.6,,,1.4,,,,,,Ux.Mx.-------
LKI-RWBA,38.8967,-107.09,3457.4,130.0,,39.5,,,3.3,,,,,,Ux.Mx.-------
LKSDCM 1,46.5317,-122.56,166.0,31.0,,18.2,,,1.7,,,,,,Ux.Mx.-------
LL&E-1,39.865,-115.14,1902.4,51.0,,36.4,,,1.4,,,,,,Ux.Mx.-------
LL106,30.38,-104.74,1021.7,120.1,,54.6,,,2.2,,,,,,Ux.Mx.-------
LL126,30.4867,-104.76,1148.4,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
LL136,30.445,-104.78,1089.0,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
LL142,30.4733,-104.77,1117.3,103.7,,54.6,,,1.9,,,,,,Ux.Mx.-------
LL148,30.5017,-104.77,1107.1,118.8,,62.5,,,1.9,,,,,,Ux.Mx.-------
LL3,30.2433,-104.62,994.0,103.7,,54.6,,,1.9,,,,,,Ux.Mx.-------
LL31,30.315,-104.64,1182.2,34.6,,18.2,,,1.9,,,,,,Ux.Mx.-------
LL32,30.3,-104.64,1124.4,51.9,,27.3,,,1.9,,,,,,Ux.Mx.-------
LL35,30.265,-104.64,1038.5,138.3,,72.8,,,1.9,,,,,,Ux.Mx.-------
LL4,30.26,-104.62,1017.9,138.3,,72.8,,,1.9,,,,,,Ux.Mx.-------
LL47,30.2917,-104.67,1175.2,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
LL50,30.3267,-104.68,1038.2,147.4,,54.6,,,2.7,,,,,,Ux.Mx.-------
LL76,30.365,-104.7,1065.8,98.3,,36.4,,,2.7,,,,,,Ux.Mx.-------
LL78,30.3883,-104.71,1107.3,60.1,,27.3,,,2.2,,,,,,Ux.Mx.-------
LNDNDRRY,42.85,-71.37,100.7,61.0,,26.4,,,2.3,,,,,,Ux.Mx.-------
LONETREE,48.3,-101.67,608.2,59.0,,39.8,,,1.5,,,,,,Ux.Mx.-------
LONG CRK,32.34,-88.61,157.0,36.0,,16.0,,,2.2,,,,,,Ux.Mx.-------
LR-125,39.7667,-115.54,2142.5,103.6,,74.0,,,1.4,,,,,,Ux.Mx.-------
LR-134,39.7717,-115.55,2185.3,83.0,,69.2,,,1.2,,,,,,Ux.Mx.-------
LR-168,39.7667,-115.53,2124.4,112.0,,80.0,,,1.4,,,,,,Ux.Mx.-------
LR-179,39.765,-115.54,2136.4,103.8,,69.2,,,1.5,,,,,,Ux.Mx.-------
LSNB,40.3917,-121.54,1925.6,132.0,,63.9,,,2.0,,,,,,Ux.Mx.-------
LSNG,40.4067,-121.45,1913.4,85.0,,51.9,,,1.6,,,,,,Ux.Mx.-------
LSNO,40.365,-120.95,1603.4,97.0,,32.6,,,2.0,,,,,,Ux.Mx.-------
LTTLBRMT,34.2833,-107.25,1936.0,72.0,,29.1,,,2.5,,,,,,Ux.Mx.-------
Lucy B. Kieffer #7B,38.7183,-96.38,425.8,55.5,,32.5,,,1.7,,,,,,Ux.Mx.-------
LUMBERTO,34.57,-78.93,29.9,64.0,,21.1,,,3.0,,,,,,Ux.Mx.-------
LV,32.7167,-107.58,1762.8,108.0,,41.1,,,2.6,,,,,,Ux.Mx.-------
LV-IM3,35.8833,-106.96,2051.8,36.1,,25.8,,,1.4,,,,,,Ux.Mx.-------
LV-IM4,35.875,-106.99,2054.6,41.9,,29.9,,,1.4,,,,,,Ux.Mx.-------
LV-IM5,35.885,-106.99,2042.9,40.2,,28.7,,,1.4,,,,,,Ux.Mx.-------
LV-IM6,35.9083,-106.99,2033.2,35.1,,25.1,,,1.4,,,,,,Ux.Mx.-------
LYMAN LK,34.335,-109.27,2006.1,77.0,,18.8,,,1.8,,,,,,Ux.Mx.-------
LYNX-CRK,44.5517,-122.03,1169.4,82.0,,51.6,,,1.6,,,,,,Ux.Mx.-------
M O GOFF,39.2,-80.23,391.5,53.0,,36.3,,,1.4,,,,,,Ux.Mx.-------
M11,39.0583,-118.08,1703.5,34.0,,20.0,,,1.7,,,,,,Ux.Mx.-------
M12,39.0383,-118.09,1755.5,114.7,,76.4,,,1.5,,,,,,Ux.Mx.-------
M14,39.0583,-118.04,1605.4,86.6,,51.0,,,1.7,,,,,,Ux.Mx.-------
M-15,38.35,-118.73,2223.5,65.2,,46.5,,,1.4,,,,,,Ux.Mx.-------
M-16,38.34,-118.86,2027.9,26.2,,18.7,,,1.4,,,,,,Ux.Mx.-------
M17,39.0467,-118.01,1604.2,92.8,,54.6,,,1.7,,,,,,Ux.Mx.-------
M18,39.0567,-118.05,1613.7,109.2,,54.6,,,2.0,,,,,,Ux.Mx.-------
MADISON2,43.9333,-71.14,211.6,75.0,,29.3,,,2.5,,,,,,Ux.Mx.-------
MAES,36.15,-104.7,1879.0,64.0,,43.1,,,1.5,,,,,,Ux.Mx.-------
Magma1,39.0333,-122.43,485.0,109.0,,38.5,,,2.8,,,,,,Ux.Mx.-------
MALTA,42.3883,-113.61,1551.9,70.0,,50.0,,,1.4,,,,,,Ux.Mx.-------
MALTA,42.3883,-113.61,1551.9,78.4,,56.0,,,1.4,,,,,,Ux.Mx.-------
MANZ,47.7683,-117.18,815.4,80.0,,24.7,,,3.3,,,,,,Ux.Mx.-------
MARQEZ,35.2833,-107.25,2205.0,90.0,,52.0,,,1.7,,,,,,Ux.Mx.-------
Marshall 1-19,35.94,-98.73,567.9,41.0,,22.3,,,1.8,,,,,,Ux.Mx.-------
MARTINEZ,46.5717,-120.17,738.3,53.0,,33.1,,,1.6,,,,,,Ux.Mx.-------
MARTINSN,42.6383,-122.82,489.5,42.0,,26.7,,,1.6,,,,,,Ux.Mx.-------
MAXBRAND,35.16,-95.53,209.0,60.0,,29.2,,,2.0,,,,,,Ux.Mx.-------
MB-07,41.8533,-118.69,1636.5,76.4,,54.6,,,1.4,,,,,,Ux.Mx.-------
MBX627,33.1067,-111.6,454.7,82.0,,22.9,,,3.6,,,,,,Ux.Mx.-------
MC2,38.6283,-112.1,1794.2,75.0,,30.0,,,2.5,,,,,,Ux.Mx.-------
MCBRIDE,45.7033,-121.42,188.0,52.0,,32.6,,,1.6,,,,,,Ux.Mx.-------
MCCLELLA,45.3467,-111.77,1658.7,30.8,,22.0,,,1.4,,,,,,Ux.Mx.-------
MCCOOK 1/Goodbger,40.1267,-100.18,746.3,37.0,,33.6,,,1.1,,,,,,Ux.Mx.-------
MCCOOK 3,40.1517,-100.16,757.8,57.0,,51.5,,,1.1,,,,,,Ux.Mx.-------
MCCOOK 5,40.2,-101.15,878.0,54.0,,48.8,,,1.1,,,,,,Ux.Mx.-------
MCCOOK 6,40.205,-101.16,895.3,57.0,,51.5,,,1.1,,,,,,Ux.Mx.-------
MCL-1,38.5167,-109.65,1217.1,78.0,,23.9,,,3.3,,,,,,Ux.Mx.-------
MCP,32.9933,-112.53,364.8,130.0,,34.6,,,3.8,,,,,,Ux.Mx.-------
ME-DDH17,43.8667,-109.28,3292.9,90.0,,30.4,,,2.9,,,,,,Ux.Mx.-------
MEREDTH2,43.6333,-71.52,264.2,59.0,,21.7,,,2.7,,,,,,Ux.Mx.-------
Mertz2,39.73,-95.73,347.3,61.8,,31.8,,,1.9,,,,,,Ux.Mx.-------
MH 2,43.2533,-115.55,1541.7,56.0,,24.3,,,2.3,,,,,,Ux.Mx.-------
MH 4,43.0833,-115.71,940.4,64.0,,34.1,,,1.9,,,,,,Ux.Mx.-------
MH 5,42.9083,-115.79,877.2,78.0,,57.6,,,1.3,,,,,,Ux.Mx.-------
MHK,32.7317,-113.75,182.5,70.0,,24.0,,,3.0,,,,,,Ux.Mx.-------
MIDOE-4,46.9583,-114.06,1178.0,64.0,,21.7,,,3.0,,,,,,Ux.Mx.-------
MILFORD,42.8333,-71.72,173.7,49.0,,20.9,,,2.3,,,,,,Ux.Mx.-------
MILFORD,38.4833,-113.13,1795.3,91.0,,32.2,,,2.8,,,,,,Ux.Mx.-------
MILLICAN2,39.9017,-117.98,1040.8,124.5,,69.2,,,1.8,,,,,,Ux.Mx.-------
MINERAL,38.0367,-77.9,124.0,38.0,,16.7,,,2.3,,,,,,Ux.Mx.-------
MISSION,31.9833,-111.07,904.5,124.0,,37.7,,,3.3,,,,,,Ux.Mx.-------
MITCHELL 34-35,38.875,-102.08,1198.3,62.0,,45.9,,,1.4,,,,,,Ux.Mx.-------
MNF TRCW,41.63,-121.37,1349.0,29.0,,20.1,,,1.5,,,,,,Ux.Mx.-------
MNRL HLL,44.37,-104.09,1844.7,92.0,,31.4,,,2.9,,,,,,Ux.Mx.-------
MOCK,46.295,-122.87,190.4,21.0,,13.5,,,1.6,,,,,,Ux.Mx.-------
MOFF TUN (TOL1&2),39.9,-105.62,2899.3,69.0,,20.8,,,3.3,,,,,,Ux.Mx.-------
MOHORIC,46.575,-123.03,174.7,47.0,,29.4,,,1.6,,,,,,Ux.Mx.-------
MONITOR,38.9667,-116.63,2171.7,85.0,,51.7,,,1.6,,,,,,Ux.Mx.-------
MONTGMRY,45.6117,-121.23,218.1,69.0,,43.6,,,1.6,,,,,,Ux.Mx.-------
MOONMS,38.4667,-108.57,2723.8,73.0,,23.2,,,3.2,,,,,,Ux.Mx.-------
MORENC,33.0833,-109.37,1413.6,65.0,,22.5,,,2.9,,,,,,Ux.Mx.-------
MORRISON,41.3983,-79.72,426.0,60.0,,22.6,,,2.7,,,,,,Ux.Mx.-------
MORTEN,42.3817,-122.53,1052.5,49.0,,33.9,,,1.5,,,,,,Ux.Mx.-------
MOSES LK,47.165,-119.32,352.4,81.0,,50.9,,,1.6,,,,,,Ux.Mx.-------
MP05-PW4,41.6483,-121.18,1340.1,78.0,,41.0,,,1.9,,,,,,Ux.Mx.-------
MP28-HTR,41.2733,-122.61,1396.0,37.0,,16.0,,,2.3,,,,,,Ux.Mx.-------
MP32-CLH,41.8317,-121.25,1504.6,67.0,,33.0,,,2.0,,,,,,Ux.Mx.-------
MP47-Y,41.555,-122.53,829.2,29.0,,21.0,,,1.4,,,,,,Ux.Mx.-------
MP49-JE,41.425,-122.5,1233.9,39.0,,17.0,,,2.3,,,,,,Ux.Mx.-------
MP55-FAZ,41.9767,-122.32,835.7,72.0,,40.0,,,1.8,,,,,,Ux.Mx.-------
MRT,34.1067,-112.99,854.4,82.0,,28.4,,,2.9,,,,,,Ux.Mx.-------
MR-WW,44.4317,-122.72,361.4,45.0,,33.6,,,1.3,,,,,,Ux.Mx.-------
MT. HOME AFB (MHAFB1),43.055,-115.84,923.4,83.0,,67.2,,,1.2,,,,,,Ux.Mx.-------
MTCRIST2,39.2333,-115.57,2385.2,92.0,,32.3,,,2.9,,,,,,Ux.Mx.-------
MUDCSE,38.9667,-104.88,2101.6,81.0,,36.8,,,2.2,,,,,,Ux.Mx.-------
MUL,34.505,-112.91,1109.7,81.0,,25.3,,,3.2,,,,,,Ux.Mx.-------
MULE MTN,33.4967,-114.84,250.4,69.0,,24.2,,,2.8,,,,,,Ux.Mx.-------
MUSSER-1,41.02,-88.9,194.9,59.0,,12.2,,,4.8,,,,,,Ux.Mx.-------
MV-31,46.7183,-112.32,1976.1,92.0,,28.3,,,3.2,,,,,,Ux.Mx.-------
MV-OG-3,46.7367,-112.32,1960.6,113.0,,35.3,,,3.1,,,,,,Ux.Mx.-------
MWX-1,39.2333,-107.87,2257.1,94.0,,40.0,,,2.3,,,,,,Ux.Mx.-------
N HARPER,43.93,-117.21,818.5,92.0,,78.2,,,1.2,,,,,,Ux.Mx.-------
N. HODGE,32.2917,-92.63,88.2,54.0,,23.7,,,2.3,,,,,,Ux.Mx.-------
,38.255,-112.89,1880.8,83.7,,49.0,,,2.9,,,,,,Ux.Mx.-------
N-05,39.795,-119.3,1310.5,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
N-06,39.935,-119.29,1339.2,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
N-1,33.7033,-116.89,713.9,72.0,,27.0,,,2.7,,,,,,Ux.Mx.-------
N-13,39.955,-119.28,1333.9,103.7,,54.6,,,1.9,,,,,,Ux.Mx.-------
N-14,39.9483,-119.26,1391.5,103.7,,54.6,,,1.9,,,,,,Ux.Mx.-------
N-16,39.955,-119.24,1434.0,103.7,,54.6,,,1.9,,,,,,Ux.Mx.-------
N-28,39.9283,-119.19,1578.5,138.3,,72.8,,,1.9,,,,,,Ux.Mx.-------
N-30,39.8533,-119.31,1286.1,138.3,,72.8,,,1.9,,,,,,Ux.Mx.-------
N-32,39.875,-119.31,1330.9,138.3,,72.8,,,1.9,,,,,,Ux.Mx.-------
N-33,39.825,-119.31,1379.3,69.2,,36.4,,,1.9,,,,,,Ux.Mx.-------
N-55,46.75,-89.57,276.1,44.0,,15.9,,,2.7,,,,,,Ux.Mx.-------
NATCHEZ,31.465,-91.34,77.7,59.0,,28.0,,,2.1,,,,,,Ux.Mx.-------
NAVAJO,35.1,-109.43,1767.2,111.0,,51.9,,,2.1,,,,,,Ux.Mx.-------
NAVNAT3,36.8833,-109.28,1763.2,65.0,,27.7,,,2.4,,,,,,Ux.Mx.-------
NDHF-3,48.455,-101.33,490.7,49.0,,40.3,,,1.2,,,,,,Ux.Mx.-------
NED COOK,42.21,-122.68,620.4,49.0,,25.7,,,1.9,,,,,,Ux.Mx.-------
NEED CB,37.59,-107.6,3802.9,112.0,,30.6,,,3.7,,,,,,Ux.Mx.-------
NEW HILL,35.6833,-78.93,101.4,27.0,,15.9,,,1.7,,,,,,Ux.Mx.-------
NI-01,40.205,-119.15,1729.8,84.1,,60.1,,,1.4,,,,,,Ux.Mx.-------
NI-02,40.2317,-119.14,1648.3,33.1,,23.7,,,1.4,,,,,,Ux.Mx.-------
NI-03,40.1933,-119.18,1832.2,84.1,,60.1,,,1.4,,,,,,Ux.Mx.-------
NI-04,40.205,-119.23,1612.8,61.2,,43.7,,,1.4,,,,,,Ux.Mx.-------
NI-06,40.2483,-119.21,1528.3,63.7,,45.5,,,1.4,,,,,,Ux.Mx.-------
NIN,70.26,-155.77,30.8,77.0,,45.5,,,1.7,,,,,,Ux.Mx.-------
NIX,45.705,-121.87,119.4,46.0,,31.4,,,1.5,,,,,,Ux.Mx.-------
NKP,70.51,-152.37,7.3,82.0,,51.2,,,1.6,,,,,,Ux.Mx.-------
NMSU-3,32.3,-106.73,1260.9,28.0,,20.0,,,1.4,,,,,,Ux.Mx.-------
NMSU-3,32.3,-106.73,1260.9,74.2,,53.0,,,1.4,,,,,,Ux.Mx.-------
NNG-KC-1,45.315,-121.8,1034.3,41.0,,18.1,,,2.2,,,,,,Ux.Mx.-------
NNG-LCM1,45.41,-121.82,932.4,110.0,,67.5,,,1.6,,,,,,Ux.Mx.-------
NNGOMF10,45.3733,-121.82,907.0,110.0,,73.7,,,1.5,,,,,,Ux.Mx.-------
NNG-TRLK,45.2833,-121.74,1155.6,95.0,,53.9,,,1.8,,,,,,Ux.Mx.-------
No. 1 (78-33),34.21,-116.04,564.5,22.0,,13.0,,,1.7,,,,,,Ux.Mx.-------
No. 3 (78-29),34.2217,-116.06,539.3,36.0,,27.0,,,1.3,,,,,,Ux.Mx.-------
No. 4 (81-21),34.2483,-116.03,639.7,29.0,,26.0,,,1.1,,,,,,Ux.Mx.-------
No. 5 (78-16),34.255,-116.15,669.4,100.0,,80.0,,,1.3,,,,,,Ux.Mx.-------
NO1GAC,32.4333,-107.08,1440.7,96.0,,29.1,,,3.3,,,,,,Ux.Mx.-------
NO1LEW,33.2833,-105.93,1937.9,101.0,,32.3,,,3.1,,,,,,Ux.Mx.-------
NO1VIC,33.4167,-106.92,1467.6,37.0,,15.3,,,2.4,,,,,,Ux.Mx.-------
NO2LEW,33.2833,-105.97,1627.6,111.0,,39.9,,,2.8,,,,,,Ux.Mx.-------
NOG,31.3783,-110.76,1438.2,91.0,,35.4,,,2.6,,,,,,Ux.Mx.-------
NOLANE,36.15,-104.58,1911.4,67.0,,55.3,,,1.2,,,,,,Ux.Mx.-------
